id,name,mobile,broadband
previousprovider1,Xphera Móviles,t,f
previousprovider2,Aire / Nubip,t,t
previousprovider3,Orange,t,t
previousprovider4,Parlem,t,t
previousprovider5,Yoigo,t,t
previousprovider6,BT,t,f
previousprovider7,Carrefour,t,f
previousprovider8,Amena,t,f
previousprovider9,DIGI Spain Telecom,t,f
previousprovider10,E-Plus España (KPN-Bankinter),t,f
previousprovider11,Eroski,t,f
previousprovider12,Euskaltel (Europa),t,f
previousprovider13,Fonyou,t,f
previousprovider14,GT Mobile,t,f
previousprovider15,Hits,t,f
previousprovider16,Ibercom,t,f
previousprovider17,Least Cost Routing Telecom,t,f
previousprovider18,Llamaya,t,f
previousprovider19,Lycamobile,t,f
previousprovider20,More Minutes,t,f
previousprovider21,Neo Sky,t,f
previousprovider22,Oceane,t,f
previousprovider23,Ono,t,t
previousprovider24,IOS -Pinger-Alow-Vozelia-KNET-SUOP,t,f
previousprovider25,Lebara,t,f
previousprovider26,Orbitel,t,f
previousprovider27,Suop (IO S),t,f
previousprovider28,Pepephone 4G,t,f
previousprovider29,Procono PTV Telecom,t,f
previousprovider30,R Cable y Telecomunicaciones,t,f
previousprovider31,Sarnet,t,f
previousprovider32,Simyo,t,f
previousprovider33,Telecable Móvil,t,f
previousprovider34,The Phone House,t,f
previousprovider35,Tuenti,t,f
previousprovider36,Viva Mobile,t,f
previousprovider37,Vivazzi,t,f
previousprovider38,Voz Telecom,t,f
previousprovider39,Movistar,t,t
previousprovider40,Más Móvil,t,t
previousprovider41,You Mobile,t,f
previousprovider42,Lowi (Vodafone Enabler),t,f
previousprovider43,RACC,t,f
previousprovider44,Happy Móvil,t,f
previousprovider45,Cable Móvil,t,f
previousprovider46,Infotelecom,t,f
previousprovider47,República Móvil,t,f
previousprovider48,Icatel,t,f
previousprovider49,Vodafone-Ono,t,t
previousprovider50,PepePhone,f,f
previousprovider51,Jazztel,t,t
previousprovider52,Som Connexió,t,t
previousprovider53,Euskaltel,f,f
previousprovider54,Altecom,t,f
previousprovider55,RTelecomunicaciones,f,f
previousprovider56,Altres / Otros,t,t
